id;business_name;business_representative;business_registration_num;business_contact_num;business_type;business_address;business_category;business_fax_num;is_headquarter;created_date
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;false;2021-03-07T19:08:50
2;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;infomediaries;false;2021-03-07T17:06:07
3;backing up Salad;Digitized invoice;convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;false;2021-03-07T13:48:22
4;South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;true;2021-03-07T20:57:18
5;Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors;true;2021-03-07T20:19:58
6;Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;false;2021-03-07T16:11:50
7;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;true;2021-03-07T08:18:11
8;paradigms Home;Investor Public-key;Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;false;2021-03-07T15:02:32
9;HDD;Algerian Dinar;firewall;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;false;2021-03-07T08:34:18
10;Virginia THX pink;cross-media;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;false;2021-03-08T03:27:00
